,Player_Name,Matches_Played,successful-tackles
42,"
                    
                    Baldev Singh
                ",35,69
43,"
                    
                    Rakesh Kumar
                ",55,68
44,"
                    
                    Amit Sheoran
                ",36,67
45,"
                    
                    Farhad Rahimi Milaghardan
                ",56,66
46,"
                    
                    Anil Kumar
                ",50,63
47,"
                    
                    Sagar B Krishna
                ",58,62
48,"
                    
                    Anup Kumar
                ",91,61
49,"
                    
                    Monu
                ",50,57
50,"
                    
                    Kuldeep Singh
                ",35,57
51,"
                    
                    Neeraj Kumar
                ",34,56
52,"
                    
                    Vijay
                ",55,56
53,"
                    
                    Sandeep Kandola
                ",16,55
54,"
                    
                    Amit Singh Chhillar
                ",35,55
55,"
                    
                    Rahul Chaudhari
                ",117,53
56,"
                    
                    Sumit
                ",16,53
57,"
                    
                    Rajaguru Subramanian
                ",45,51
58,"
                    
                    Ruturaj Shivaji Koravi
                ",34,51
59,"
                    
                    Sunil Siddhgavali
                ",39,51
60,"
                    
                    Prashant Chavan
                ",41,50
61,"
                    
                    Jawahar Dagar
                ",44,49
62,"
                    
                    Meraj Sheykh
                ",94,48
63,"
                    
                    Vinod Kumar
                ",27,48
64,"
                    
                    Sachin Kumar
                ",46,48
65,"
                    
                    Manoj Kumar
                ",52,48
66,"
                    
                    Rakesh Singh Kumar
                ",49,46
67,"
                    
                    Darshan J.
                ",29,45
68,"
                    
                    Kashiling Adake
                ",92,44
69,"
                    
                    Rishank Devadiga
                ",115,44
70,"
                    
                    Sachin Khambe
                ",22,40
71,"
                    
                    D. Gopu
                ",34,40
72,"
                    
                    Manjeet
                ",40,39
73,"
                    
                    Narender
                ",28,37
74,"
                    
                    Rohit Kumar
                ",89,37
75,"
                    
                    Kuldeep Singh
                ",20,37
76,"
                    
                    Nitin Rawal
                ",42,36
77,"
                    
                    Vishal
                ",21,36
78,"
                    
                    Saurabh Nandal
                ",16,36
79,"
                    
                    Vinod Kumar
                ",44,35
80,"
                    
                    Santhapanaselvam
                ",28,34
81,"
                    
                    Sombir
                ",29,34
82,"
                    
                    Shyam Kumar Sah
                ",27,34
83,"
                    
                    Vikas Jaglan
                ",44,33
84,"
                    
                    Mohsen Maghsoudloujafari
                ",45,32
85,"
                    
                    Satpal
                ",22,32
86,"
                    
                    D. Pradap
                ",29,31
87,"
                    
                    Manish
                ",40,30
88,"
                    
                    Ziaur Rahman
                ",34,30
89,"
                    
                    Preetam Chhillar
                ",58,30
90,"
                    
                    Sunil Jaipal
                ",38,29
91,"
                    
                    Pankaj
                ",19,29
92,"
                    
                    More GB
                ",42,28
93,"
                    
                    Viraj Vishnu Landge
                ",33,28
94,"
                    
                    Pawan Kumar Sehrawat
                ",73,28
95,"
                    
                    Mahipal Narwal
                ",34,28
96,"
                    
                    Vijin Thangadurai
                ",51,27
97,"
                    
                    Rohit Baliyan
                ",65,27
98,"
                    
                    Ashu Singh
                ",16,27
99,"
                    
                    Sachin Tanwar
                ",61,26
100,"
                    
                    Parmod Narwal
                ",35,25
101,"
                    
                    Jasvir Singh
                ",77,25
102,"
                    
                    Gurpreet Singh
                ",18,25
103,"
                    
                    Wasim Sajjad
                ",17,24
104,"
                    
                    Sachin Vittala
                ",26,24
105,"
                    
                    Sidharth
                ",21,24
106,"
                    
                    Vikash
                ",19,24
107,"
                    
                    Mayur Shivtarkar
                ",29,24
108,"
                    
                    Shubham Shinde
                ",23,24
109,"
                    
                    Parveen
                ",25,23
110,"
                    
                    Amit
                ",30,23
111,"
                    
                    Manoj Dhull
                ",27,23
112,"
                    
                    Raju Lal Choudhary
                ",23,23
113,"
                    
                    Mohammad Esmaeil Nabibakhsh
                ",17,22
114,"
                    
                    Akshay Jadhav
                ",29,22
115,"
                    
                    Vineet Sharma
                ",39,22
116,"
                    
                    Jadhav Balasaheb Shahaji
                ",16,22
117,"
                    
                    Hadi Tajik
                ",27,21
118,"
                    
                    Ajay Thakur
                ",115,21
119,"
                    
                    Mahesh Goud
                ",65,21
120,"
                    
                    Swapnil Dilip Shinde
                ",21,21
121,"
                    
                    Navneet Gautam
                ",31,20
122,"
                    
                    Jang Kun Lee
                ",101,20
123,"
                    
                    Somvir
                ",16,20
124,"
                    
                    Rahul Kumar
                ",30,20
125,"
                    
                    Amit Kumar
                ",17,20
126,"
                    
                    Anil Kumar
                ",19,19
127,"
                    
                    Monu Goyat
                ",68,19
128,"
                    
                    Kalimuthu Balamahendran
                ",23,19
129,"
                    
                    Nitin More
                ",22,19
130,"
                    
                    Vijendar Singh
                ",8,19
131,"
                    
                    Wazir Singh
                ",47,18
132,"
                    
                    Gangadhari Mallesh
                ",36,18
133,"
                    
                    Nitin Tomar
                ",64,18
134,"
                    
                    Ponparthiban Subramanian
                ",17,18
135,"
                    
                    Amit Kumar
                ",18,17
136,"
                    
                    Young Chang Ko
                ",36,17
137,"
                    
                    Gurvinder Singh
                ",45,17
138,"
                    
                    Shrikant Jadhav
                ",70,17
139,"
                    
                    Shabeer Bappu
                ",73,16
140,"
                    
                    Samarjeet Singh
                ",22,16
141,"
                    
                    Sandeep
                ",14,16
142,"
                    
                    Krushna Madane
                ",14,15
143,"
                    
                    Sanket Chavan
                ",13,15
144,"
                    
                    S Mahalingam
                ",11,14
145,"
                    
                    Deepak Kumar Rathee
                ",20,14
146,"
                    
                    Sagar Khatale
                ",12,14
147,"
                    
                    Ram Kumar Sah
                ",11,14
148,"
                    
                    Jitesh Joshi
                ",19,14
149,"
                    
                    Dadaso Balaso Awad
                ",12,14
150,"
                    
                    Naveen
                ",34,14
151,"
                    
                    Sumit Malik
                ",14,14
152,"
                    
                    Harendra Kumar
                ",14,13
153,"
                    
                    Ajeet
                ",14,13
154,"
                    
                    Sukesh Hegde
                ",94,13
155,"
                    
                    Mahendra Ganesh Rajput
                ",62,13
156,"
                    
                    Deepak Narwal
                ",78,12
157,"
                    
                    Surjeet Narwal
                ",31,12
158,"
                    
                    Nilesh Salunke
                ",76,12
159,"
                    
                    Adarsh T
                ",19,12
160,"
                    
                    Ankit
                ",12,11
161,"
                    
                    Rupesh Tomar
                ",15,11
162,"
                    
                    Bhupender Singh
                ",47,11
163,"
                    
                    Amit Kumar
                ",11,11
164,"
                    
                    Deepak Dhull
                ",10,11
165,"
                    
                    G.S. Manikandan
                ",20,10
166,"
                    
                    Yogesh Hooda
                ",21,10
167,"
                    
                    Seong Ryeol Kim
                ",15,10
168,"
                    
                    Jeeva Gopal
                ",24,10
169,"
                    
                    Yatharth Deshwal
                ",6,10
170,"
                    
                    Tapas Pal
                ",7,10
171,"
                    
                    Rohit Gulia
                ",54,10
172,"
                    
                    N. Renjith
                ",11,10
173,"
                    
                    Mohit Sehrawat
                ",11,10
174,"
                    
                    Pavan T. R.
                ",12,9
175,"
                    
                    Vikash Kandola
                ",48,9
176,"
                    
                    Vinod Kumar
                ",29,9
177,"
                    
                    Ravinder Kumar
                ",12,9
178,"
                    
                    Rajesh Mondal
                ",89,9
179,"
                    
                    Surender Singh
                ",48,9
180,"
                    
                    Vijender Singh
                ",8,9
181,"
                    
                    Santhosh B.S
                ",9,8
182,"
                    
                    CPO Surjeet Singh
                ",48,8
183,"
                    
                    Maninder Singh
                ",76,8
184,"
                    
                    Chandran Ranjit
                ",57,8
185,"
                    
                    Saeid Ghaffari
                ",9,8
186,"
                    
                    Darshan Kadian
                ",37,8
187,"
                    
                    Anil Kumar
                ",6,8
188,"
                    
                    Vijay Kumar
                ",21,8
189,"
                    
                    Sagar
                ",9,8
190,"
                    
                    Ankit
                ",11,7
191,"
                    
                    Sanket Sawant
                ",5,7
192,"
                    
                    Abhishek Singh
                ",29,7
193,"
                    
                    Deepak Yadav
                ",7,7
194,"
                    
                    Abolfazl Maghsodloumahali
                ",47,7
195,"
                    
                    Umesh Mhatre
                ",13,7
196,"
                    
                    Sumit Singh
                ",30,7
197,"
                    
                    Tae Deok Eom
                ",35,7
198,"
                    
                    Harvinder Singh
                ",4,7
199,"
                    
                    Deepak Kumar
                ",7,7
200,"
                    
                    Deepak Kumar Dahiya
                ",53,7
201,"
                    
                    Prashanth Kumar Rai
                ",91,6
202,"
                    
                    K. Prapanjan
                ",80,6
203,"
                    
                    Pardeep Narwal
                ",102,6
204,"
                    
                    Ravi Dalal
                ",38,6
205,"
                    
                    Ravindra Ramesh Kumawat
                ",17,6
206,"
                    
                    Amit Nagar
                ",12,6
207,"
                    
                    Selvamani K
                ",55,6
208,"
                    
                    Siddharth Sirish Desai
                ",37,6
209,"
                    
                    Surender Gill
                ",13,6
210,"
                    
                    Ajay
                ",14,6
211,"
                    
                    Naveen Kumar
                ",38,6
212,"
                    
                    Lalit Chaudhary
                ",7,5
213,"
                    
                    Vikash
                ",4,5
214,"
                    
                    Gurvinder Singh
                ",5,5
215,"
                    
                    Rakesh Gowda
                ",7,5
216,"
                    
                    Jagdeesha K.K.
                ",7,5
217,"
                    
                    Manpreet Singh
                ",13,5
218,"
                    
                    Mohammad Esmaeil Maghsoudlou Mahalli
                ",16,5
219,"
                    
                    Nitin Madane
                ",37,5
220,"
                    
                    Varinder Singh
                ",8,5
221,"
                    
                    T. Prasad
                ",9,5
222,"
                    
                    Parveen M. Jangra
                ",6,5
223,"
                    
                    Suresu Kumar
                ",21,4
224,"
                    
                    Vikas Tomar
                ",9,4
225,"
                    
                    Rajeev Kumar
                ",3,4
226,"
                    
                    Amit Om Prakash Rathi
                ",16,4
227,"
                    
                    Isac Antony
                ",9,4
228,"
                    
                    Tushar Patil
                ",53,4
229,"
                    
                    Ashish Chhokar
                ",12,4
230,"
                    
                    Vikas Kumar
                ",14,4
231,"
                    
                    Parvesh
                ",6,4
232,"
                    
                    C Manoj Kumar
                ",12,4
233,"
                    
                    Anuj Kumar
                ",7,4
234,"
                    
                    Sudhanshu Tyagi
                ",13,4
235,"
                    
                    Chand Singh
                ",6,4
236,"
                    
                    Vinay
                ",16,4
237,"
                    
                    Sonu Jaglan
                ",11,3
238,"
                    
                    M. Abishek
                ",4,3
239,"
                    
                    Ajinkya Ashok Pawar
                ",30,3
240,"
                    
                    Kamal Singh
                ",11,3
241,"
                    
                    Elavarasan A
                ",3,3
242,"
                    
                    Satish
                ",10,3
243,"
                    
                    Muruthu M
                ",3,3
244,"
                    
                    E Subash
                ",4,3
245,"
                    
                    Rohit Kumar Choudary
                ",38,3
246,"
                    
                    Gurchet Singh
                ",4,3
247,"
                    
                    Pawan Kumar Kadian
                ",74,2
248,"
                    
                    Anoop E.V.
                ",3,2
249,"
                    
                    Aman Kumar
                ",4,2
250,"
                    
                    Rakesh Narwal
                ",25,2
251,"
                    
                    Parveen Kumar
                ",8,2
252,"
                    
                    Pravin Niwale
                ",17,2
253,"
                    
                    Punit Kumar Teotia
                ",4,2
254,"
                    
                    Gokul Shitole
                ",4,2
255,"
                    
                    Sunil Hanumanthappa
                ",5,2
256,"
                    
                    Ehsan Zamani Fard
                ",8,2
257,"
                    
                    Simon Kibura
                ",9,2
258,"
                    
                    Babu M
                ",2,2
259,"
                    
                    Sandeep
                ",5,2
260,"
                    
                    Elangeshwaran R
                ",5,2
261,"
                    
                    M. Thivakaran
                ",9,2
262,"
                    
                    Lokesh Kaushik
                ",6,2
263,"
                    
                    Prateek
                ",6,2
264,"
                    
                    Arjun Deshwal
                ",18,2
265,"
                    
                    Rakshith
                ",17,2
266,"
                    
                    Tushar Balaram Bhoir
                ",10,2
267,"
                    
                    Kuldeep
                ",5,2
268,"
                    
                    Sushil Vijay Bhosle
                ",2,2
269,"
                    
                    Shashank Wankhede
                ",5,2
270,"
                    
                    Anil Shriram Nimbolkar
                ",6,2
271,"
                    
                    Amit Kumar Tomar
                ",9,2
272,"
                    
                    Azad Singh
                ",12,2
273,"
                    
                    Banty
                ",9,2
274,"
                    
                    Ravinder
                ",4,2
275,"
                    
                    Pankaj Mohite
                ",15,1
276,"
                    
                    Satywan
                ",1,1
277,"
                    
                    Aashish Nagar
                ",3,1
278,"
                    
                    Aman
                ",2,1
279,"
                    
                    Sachin Narwal
                ",10,1
280,"
                    
                    Ankush
                ",3,1
281,"
                    
                    Ankit Beniwal
                ",6,1
282,"
                    
                    Vikram Kandola
                ",3,1
283,"
                    
                    Armaan
                ",10,1
284,"
                    
                    Naveen Narwal
                ",3,1
285,"
                    
                    Amit Kumar
                ",5,1
286,"
                    
                    Gnanasekaran M
                ",8,1
287,"
                    
                    Ravinandan G.M.
                ",1,1
288,"
                    
                    Navjot Singh
                ",1,1
289,"
                    
                    Nirbhay Narwal
                ",2,1
290,"
                    
                    Hardeep Duhan
                ",1,1
291,"
                    
                    Sanju
                ",4,1
292,"
                    
                    Virender Wazir Singh
                ",7,1
293,"
                    
                    Ajay Kumar
                ",50,1
294,"
                    
                    Mohammad Taghi Paein Mahali
                ",3,1
295,"
                    
                    Vishnu Uthaman
                ",3,1
296,"
                    
                    Athul MS
                ",35,1
297,"
                    
                    Ajay Singh
                ",1,1
298,"
                    
                    Amit Kharb
                ",8,1
299,"
                    
                    Victor Onyango Obiero
                ",6,1
300,"
                    
                    Rajnish
                ",12,1
301,"
                    
                    Sanoj Kumar
                ",2,1
302,"
                    
                    Anand Surendra Tomar
                ",5,1
303,"
                    
                    Ajvender Singh
                ",2,1
304,"
                    
                    N. Shiva Ramakrishna
                ",1,1
305,"
                    
                    Rahul Choudhary
                ",5,1
306,"
                    
                    Rohit Kumar
                ",7,1
307,"
                    
                    R. Sriram
                ",15,1
308,"
                    
                    Farhad Kamal Gharibi
                ",2,1
309,"
                    
                    Takamitsu Kono
                ",1,1
310,"
                    
                    Sinotharan Kanesharajah
                ",3,1
311,"
                    
                    Atif Waheed
                ",3,1
312,"
                    
                    Wajid Ali
                ",4,1
313,"
                    
                    Nithesh B R
                ",2,1
314,"
                    
                    Suraj Desai
                ",12,1
315,"
                    
                    Sandeep Malik
                ",1,1
316,"
                    
                    Mohammad Maghshoudulu
                ",18,1
317,"
                    
                    Adinath Sakharam Gavali
                ",1,1
318,"
                    
                    Sanjay Kumar
                ",8,1
319,"
                    
                    Ravit Kumar
                ",3,1
320,"
                    
                    Hyunil Park
                ",2,1
321,"
                    
                    Jishnu
                ",3,1
322,"
                    
                    Amit Kumar
                ",1,1
323,"
                    
                    Sunil Subhash Lande
                ",4,1
324,"
                    
                    Rohit Kumar Prajapat
                ",3,1
325,"
                    
                    Kedar Lal
                ",10,1
326,"
                    
                    Pradeep Kumar
                ",10,1
327,"
                    
                    Mangesh Bhagat
                ",8,1
