,Player_Name,Matches_Played,successful-tackles
0,"
                    
                    Manjeet Chhillar
                ",107,324
1,"
                    
                    Ravinder Pahal
                ",105,288
2,"
                    
                    Fazel Atrachali
                ",95,270
3,"
                    
                    Sandeep Narwal
                ",117,265
4,"
                    
                    Mohit Chhillar
                ",107,253
5,"
                    
                    PO Surjeet Singh
                ",91,250
6,"
                    
                    Girish Maruti Ernak
                ",102,243
7,"
                    
                    Dharmaraj Cheralathan
                ",114,228
8,"
                    
                    Ran Singh
                ",115,211
9,"
                    
                    Surender Nada
                ",71,206
10,"
                    
                    Amit Hooda
                ",84,206
11,"
                    
                    Jeeva Kumar
                ",109,201
12,"
                    
                    Vishal Mane
                ",121,182
13,"
                    
                    Nitesh Kumar
                ",60,175
14,"
                    
                    Vishal Bhardwaj
                ",57,174
15,"
                    
                    Sandeep Kumar Dhull
                ",60,173
16,"
                    
                    Sunil Kumar
                ",66,164
17,"
                    
                    Jaideep
                ",65,164
18,"
                    
                    Parvesh Bhainswal
                ",72,161
19,"
                    
                    Joginder Singh Narwal
                ",76,155
20,"
                    
                    Surinder Singh
                ",60,153
21,"
                    
                    Mahender Singh
                ",61,153
22,"
                    
                    Abozar Mohajermighani
                ",61,141
23,"
                    
                    Rohit Rana
                ",82,131
24,"
                    
                    Ravi Kumar
                ",89,129
25,"
                    
                    Nilesh Shinde
                ",69,121
26,"
                    
                    Sachin Shingade
                ",75,109
27,"
                    
                    Rajesh Narwal
                ",92,105
28,"
                    
                    Kuldeep Singh
                ",66,103
29,"
                    
                    Jasmer Singh Gulia
                ",52,102
30,"
                    
                    Ashish Kumar
                ",82,98
31,"
                    
                    Sunil
                ",63,98
32,"
                    
                    D. Suresh Kumar
                ",59,91
33,"
                    
                    Bajirao Hodage
                ",61,90
34,"
                    
                    C. Arun
                ",85,90
35,"
                    
                    Vikas Kale
                ",56,88
36,"
                    
                    Hadi Oshtorak
                ",67,88
37,"
                    
                    Somvir Shekhar
                ",61,82
38,"
                    
                    Rinku Narwal
                ",45,79
39,"
                    
                    Sunil
                ",36,79
40,"
                    
                    Deepak Niwas Hooda
                ",119,77
41,"
                    
                    Shrikant Tewthia
                ",71,70
