,Player_Name,Matches_Played,successful-tackles
0,"
                    
                    Manjeet Chhillar
                ",16,51
1,"
                    
                    Surender Nada
                ",15,47
2,"
                    
                    Rohit Rana
                ",15,37
3,"
                    
                    Jasmer Singh Gulia
                ",14,36
4,"
                    
                    Dharmaraj Cheralathan
                ",16,34
5,"
                    
                    Mohit Chhillar
                ",16,30
6,"
                    
                    Ravinder Pahal
                ",9,29
7,"
                    
                    Prashant Chavan
                ",15,28
8,"
                    
                    Amit Singh Chhillar
                ",14,26
9,"
                    
                    Nilesh Shinde
                ",14,25
10,"
                    
                    Rajesh Narwal
                ",16,25
11,"
                    
                    Gurpreet Singh
                ",16,24
12,"
                    
                    Wasim Sajjad
                ",15,24
13,"
                    
                    D. Suresh Kumar
                ",12,24
14,"
                    
                    Ran Singh
                ",10,23
15,"
                    
                    Girish Maruti Ernak
                ",12,22
16,"
                    
                    Sandeep Narwal
                ",16,21
17,"
                    
                    Parmod Narwal
                ",16,20
18,"
                    
                    D. Gopu
                ",15,20
19,"
                    
                    Sachin Khambe
                ",14,20
20,"
                    
                    Vishal Mane
                ",16,19
21,"
                    
                    Sachin Shingade
                ",10,19
22,"
                    
                    Vijendar Singh
                ",8,19
23,"
                    
                    Rajaguru Subramanian
                ",14,18
24,"
                    
                    Shyam Kumar Sah
                ",13,17
25,"
                    
                    Manoj Kumar
                ",14,17
26,"
                    
                    Navneet Gautam
                ",14,16
27,"
                    
                    Jeeva Kumar
                ",9,16
28,"
                    
                    Kalimuthu Balamahendran
                ",14,14
29,"
                    
                    Ram Kumar Sah
                ",9,14
30,"
                    
                    Rishank Devadiga
                ",16,13
31,"
                    
                    Sunil Jaipal
                ",13,13
32,"
                    
                    Nitin More
                ",9,12
33,"
                    
                    Anup Kumar
                ",16,12
34,"
                    
                    Jitesh Joshi
                ",14,11
35,"
                    
                    Rakesh Kumar
                ",12,11
36,"
                    
                    Samarjeet Singh
                ",12,10
37,"
                    
                    Sagar Khatale
                ",8,10
38,"
                    
                    Bajirao Hodage
                ",6,9
39,"
                    
                    Rahul Chaudhari
                ",14,9
40,"
                    
                    Shrikant Tewthia
                ",14,8
41,"
                    
                    Kashiling Adake
                ",14,8
42,"
                    
                    Mahesh Goud
                ",13,8
43,"
                    
                    Swapnil Dilip Shinde
                ",8,8
44,"
                    
                    Preetam Chhillar
                ",11,7
45,"
                    
                    Mahipal Narwal
                ",5,7
46,"
                    
                    Jasvir Singh
                ",15,6
47,"
                    
                    Jeeva Gopal
                ",11,6
48,"
                    
                    Maninder Singh
                ",16,6
49,"
                    
                    Wazir Singh
                ",12,5
50,"
                    
                    Surjeet Narwal
                ",14,5
51,"
                    
                    Ajay Thakur
                ",15,5
52,"
                    
                    Seong Ryeol Kim
                ",3,5
53,"
                    
                    Dadaso Balaso Awad
                ",5,4
54,"
                    
                    Kuldeep Singh
                ",3,4
55,"
                    
                    Nitin Madane
                ",12,4
56,"
                    
                    Rajesh Mondal
                ",15,4
57,"
                    
                    Sukesh Hegde
                ",14,4
58,"
                    
                    Vikas Tomar
                ",8,4
59,"
                    
                    Gurchet Singh
                ",4,3
60,"
                    
                    Rakesh Singh Kumar
                ",9,3
61,"
                    
                    Rupesh Tomar
                ",5,3
62,"
                    
                    Gurvinder Singh
                ",7,3
63,"
                    
                    Gangadhari Mallesh
                ",10,3
64,"
                    
                    Deepak Niwas Hooda
                ",14,2
65,"
                    
                    Ehsan Zamani Fard
                ",8,2
66,"
                    
                    Simon Kibura
                ",4,2
67,"
                    
                    Jang Kun Lee
                ",11,2
68,"
                    
                    Raju Lal Choudhary
                ",5,2
69,"
                    
                    Punit Kumar Teotia
                ",4,2
70,"
                    
                    Parveen Kumar
                ",8,2
71,"
                    
                    Sunil Hanumanthappa
                ",5,2
72,"
                    
                    Gokul Shitole
                ",3,2
73,"
                    
                    Deepak Kumar Dahiya
                ",7,2
74,"
                    
                    Mangesh Bhagat
                ",8,1
75,"
                    
                    Pawan Kumar Kadian
                ",10,1
76,"
                    
                    Sunil Subhash Lande
                ",4,1
77,"
                    
                    Pravin Niwale
                ",7,1
78,"
                    
                    Shabeer Bappu
                ",10,1
79,"
                    
                    Farhad Kamal Gharibi
                ",2,1
80,"
                    
                    Takamitsu Kono
                ",1,1
81,"
                    
                    Tae Deok Eom
                ",9,1
82,"
                    
                    Atif Waheed
                ",3,1
83,"
                    
                    Wajid Ali
                ",4,1
84,"
                    
                    Sinotharan Kanesharajah
                ",1,1
