,Player_Name,Matches_Played,successful-tackles
0,"
                    
                    Surender Nada
                ",21,74
1,"
                    
                    PO Surjeet Singh
                ",24,72
2,"
                    
                    Vishal Bhardwaj
                ",22,68
3,"
                    
                    Jaideep
                ",26,66
4,"
                    
                    Abozar Mohajermighani
                ",24,63
5,"
                    
                    Girish Maruti Ernak
                ",21,61
6,"
                    
                    Surender Singh
                ",22,58
7,"
                    
                    Sunil Kumar
                ",24,55
8,"
                    
                    Amit Hooda
                ",22,55
9,"
                    
                    Fazel Atrachali
                ",24,54
10,"
                    
                    Mahender Singh
                ",22,52
11,"
                    
                    Ravinder Pahal
                ",19,49
12,"
                    
                    Sandeep Narwal
                ",21,49
13,"
                    
                    Ran Singh
                ",23,49
14,"
                    
                    Manjeet Chhillar
                ",15,46
15,"
                    
                    Nitesh Kumar
                ",19,46
16,"
                    
                    Parvesh Bhainswal
                ",24,44
17,"
                    
                    Darshan J.
                ",20,39
18,"
                    
                    Jeeva Kumar
                ",22,37
19,"
                    
                    Vishal Mane
                ",26,36
20,"
                    
                    Mohit Chhillar
                ",20,35
21,"
                    
                    Vijay
                ",19,34
22,"
                    
                    Sombir
                ",17,33
23,"
                    
                    Shrikant Tewthia
                ",23,31
24,"
                    
                    Kuldeep Singh
                ",16,30
25,"
                    
                    C. Arun
                ",20,30
26,"
                    
                    Somvir Shekhar
                ",22,29
27,"
                    
                    Sagar B Krishna
                ",17,29
28,"
                    
                    Monu
                ",19,29
29,"
                    
                    Ravi Kumar
                ",23,28
30,"
                    
                    Jawahar Dagar
                ",18,26
31,"
                    
                    Kuldeep Singh
                ",20,25
32,"
                    
                    Sunil
                ",18,24
33,"
                    
                    Rohit Rana
                ",21,24
34,"
                    
                    Dharmaraj Cheralathan
                ",18,24
35,"
                    
                    Vikash
                ",19,24
36,"
                    
                    Sidharth
                ",21,24
37,"
                    
                    Rakesh Singh Kumar
                ",19,23
38,"
                    
                    Farhad Rahimi Milaghardan
                ",18,22
39,"
                    
                    Satpal
                ",10,22
40,"
                    
                    Sachin Shingade
                ",26,21
41,"
                    
                    Anup Kumar
                ",21,19
42,"
                    
                    Nilesh Shinde
                ",15,19
43,"
                    
                    D. Pradap
                ",16,19
44,"
                    
                    Nitin Rawal
                ",21,19
45,"
                    
                    Ziaur Rahman
                ",16,18
46,"
                    
                    Manish
                ",23,17
47,"
                    
                    Hadi Oshtorak
                ",16,17
48,"
                    
                    Rinku Narwal
                ",13,17
49,"
                    
                    Viraj Vishnu Landge
                ",19,16
50,"
                    
                    Pankaj
                ",13,16
51,"
                    
                    Santhapanaselvam
                ",10,15
52,"
                    
                    Sunil Siddhgavali
                ",12,15
53,"
                    
                    Rajesh Narwal
                ",16,15
54,"
                    
                    Rakesh Kumar
                ",10,15
55,"
                    
                    Ashish Kumar
                ",20,14
56,"
                    
                    Swapnil Dilip Shinde
                ",13,13
57,"
                    
                    Deepak Niwas Hooda
                ",24,13
58,"
                    
                    Sachin
                ",24,13
59,"
                    
                    Vineet Sharma
                ",18,13
60,"
                    
                    Neeraj Kumar
                ",17,12
61,"
                    
                    Sunil Jaipal
                ",13,12
62,"
                    
                    Wazir Singh
                ",21,11
63,"
                    
                    Bajirao Hodage
                ",12,11
64,"
                    
                    Rohit Kumar
                ",22,11
65,"
                    
                    Monu Goyat
                ",26,10
66,"
                    
                    Akshay Jadhav
                ",10,10
67,"
                    
                    N. Renjith
                ",11,10
68,"
                    
                    Yatharth Deshwal
                ",6,10
69,"
                    
                    Shrikant Jadhav
                ",19,10
70,"
                    
                    Ajay Thakur
                ",22,9
71,"
                    
                    Rahul Chaudhari
                ",22,9
72,"
                    
                    Joginder Singh Narwal
                ",8,9
73,"
                    
                    Vinod Kumar
                ",21,9
