,Player_Name,Matches_Played,successful-tackles
74,"
                    
                    Tapas Pal
                ",5,9
75,"
                    
                    Nitin Tomar
                ",20,9
76,"
                    
                    Rohit Baliyan
                ",17,9
77,"
                    
                    Vinod Kumar
                ",19,8
78,"
                    
                    Meraj Sheykh
                ",20,8
79,"
                    
                    Santhosh B.S
                ",9,8
80,"
                    
                    Kashiling Adake
                ",20,7
81,"
                    
                    Gurvinder Singh
                ",9,7
82,"
                    
                    Deepak Yadav
                ",4,7
83,"
                    
                    Kuldeep Singh
                ",5,6
84,"
                    
                    Vishal
                ",5,6
85,"
                    
                    Rahul Kumar
                ",10,6
86,"
                    
                    Manoj Dhull
                ",9,6
87,"
                    
                    Sachin Kumar
                ",9,6
88,"
                    
                    D. Suresh Kumar
                ",5,6
89,"
                    
                    Mahendra Ganesh Rajput
                ",17,5
90,"
                    
                    Nilesh Salunke
                ",21,5
91,"
                    
                    Abolfazl Maghsodloumahali
                ",19,5
92,"
                    
                    Hadi Tajik
                ",9,5
93,"
                    
                    Mohsen Maghsoudloujafari
                ",16,5
94,"
                    
                    Vikash
                ",4,5
95,"
                    
                    Gurvinder Singh
                ",5,5
96,"
                    
                    Vikas Kumar
                ",14,4
97,"
                    
                    Darshan Kadian
                ",16,4
98,"
                    
                    Sanket Chavan
                ",7,4
99,"
                    
                    Preetam Chhillar
                ",16,4
100,"
                    
                    Mahesh Goud
                ",21,4
101,"
                    
                    Rishank Devadiga
                ",21,4
102,"
                    
                    CPO Surjeet Singh
                ",17,4
103,"
                    
                    Vikas Jaglan
                ",13,3
104,"
                    
                    Ravi Dalal
                ",5,3
105,"
                    
                    Jasvir Singh
                ",15,3
106,"
                    
                    Jeeva Gopal
                ",6,3
107,"
                    
                    Ashish Chhokar
                ",5,3
108,"
                    
                    Tushar Patil
                ",17,3
109,"
                    
                    Vijin Thangadurai
                ",12,3
110,"
                    
                    Deepak Kumar Rathee
                ",6,3
111,"
                    
                    Vijay Kumar
                ",8,3
112,"
                    
                    Rohit Gulia
                ",19,3
113,"
                    
                    Satish
                ",10,3
114,"
                    
                    Muruthu M
                ",3,3
115,"
                    
                    Rakshith
                ",6,2
116,"
                    
                    Tushar Balaram Bhoir
                ",8,2
117,"
                    
                    E Subash
                ",2,2
118,"
                    
                    Elangeshwaran R
                ",5,2
119,"
                    
                    M. Thivakaran
                ",9,2
120,"
                    
                    Babu M
                ",2,2
121,"
                    
                    More GB
                ",6,2
122,"
                    
                    Shashank Wankhede
                ",3,2
123,"
                    
                    Young Chang Ko
                ",14,2
124,"
                    
                    Anil Kumar
                ",5,2
125,"
                    
                    Kuldeep
                ",5,2
126,"
                    
                    Surender Singh
                ",18,2
127,"
                    
                    Vinod Kumar
                ",4,2
128,"
                    
                    Deepak Narwal
                ",16,2
129,"
                    
                    Deepak Kumar Dahiya
                ",16,2
130,"
                    
                    Maninder Singh
                ",21,2
131,"
                    
                    Parmod Narwal
                ",6,2
132,"
                    
                    Shabeer Bappu
                ",12,2
133,"
                    
                    Sukesh Hegde
                ",18,2
134,"
                    
                    Rupesh Tomar
                ",1,1
135,"
                    
                    Manoj Kumar
                ",5,1
136,"
                    
                    Rajesh Mondal
                ",24,1
137,"
                    
                    Prashanth Kumar Rai
                ",16,1
138,"
                    
                    Rakesh Narwal
                ",6,1
139,"
                    
                    K. Prapanjan
                ",22,1
140,"
                    
                    Ravinder Kumar
                ",1,1
141,"
                    
                    Mayur Shivtarkar
                ",5,1
142,"
                    
                    Vishnu Uthaman
                ",3,1
143,"
                    
                    Anil Kumar
                ",5,1
144,"
                    
                    Pawan Kumar Sehrawat
                ",9,1
145,"
                    
                    Rahul Choudhary
                ",5,1
146,"
                    
                    Ajvender Singh
                ",2,1
147,"
                    
                    Rohit Kumar
                ",7,1
148,"
                    
                    R. Sriram
                ",11,1
149,"
                    
                    Sanoj Kumar
                ",2,1
