,Player_Name,Matches_Played,successful-tackles
0,"
                    
                    Sumit
                ",16,53
1,"
                    
                    Fazel Atrachali
                ",16,50
2,"
                    
                    Sandeep Kumar Dhull
                ",16,50
3,"
                    
                    Vishal Bhardwaj
                ",16,49
4,"
                    
                    PO Surjeet Singh
                ",18,46
5,"
                    
                    Baldev Singh
                ",17,45
6,"
                    
                    Neeraj Kumar
                ",17,44
7,"
                    
                    Ravinder Pahal
                ",16,44
8,"
                    
                    Rinku Narwal
                ",17,43
9,"
                    
                    Jaideep
                ",17,42
10,"
                    
                    Mahender Singh
                ",15,39
11,"
                    
                    Sunil
                ",14,38
12,"
                    
                    Nitesh Kumar
                ",16,37
13,"
                    
                    Sunil Kumar
                ",16,37
14,"
                    
                    Joginder Singh Narwal
                ",16,37
15,"
                    
                    Surinder Singh
                ",16,36
16,"
                    
                    Saurabh Nandal
                ",16,36
17,"
                    
                    Manjeet Chhillar
                ",14,35
18,"
                    
                    Sandeep Narwal
                ",16,34
19,"
                    
                    Vikas Kale
                ",15,34
20,"
                    
                    Mohit Chhillar
                ",16,33
21,"
                    
                    Dharmaraj Cheralathan
                ",15,33
22,"
                    
                    Parvesh Bhainswal
                ",16,32
23,"
                    
                    Amit Sheoran
                ",17,31
24,"
                    
                    Abozar Mohajermighani
                ",16,30
25,"
                    
                    Amit Hooda
                ",12,28
26,"
                    
                    Ravi Kumar
                ",14,27
27,"
                    
                    Hadi Oshtorak
                ",17,27
28,"
                    
                    Jeeva Kumar
                ",16,27
29,"
                    
                    Ashu Singh
                ",16,27
30,"
                    
                    Girish Maruti Ernak
                ",13,26
31,"
                    
                    Manjeet
                ",18,25
32,"
                    
                    Vishal
                ",10,23
33,"
                    
                    Farhad Rahimi Milaghardan
                ",16,23
34,"
                    
                    Ran Singh
                ",16,23
35,"
                    
                    Mohammad Esmaeil Nabibakhsh
                ",17,22
36,"
                    
                    Jadhav Balasaheb Shahaji
                ",16,22
37,"
                    
                    Vishal Mane
                ",16,21
38,"
                    
                    Amit
                ",16,18
39,"
                    
                    Monu
                ",17,18
40,"
                    
                    Amit Kumar
                ",12,17
41,"
                    
                    More GB
                ",14,16
42,"
                    
                    C. Arun
                ",16,16
43,"
                    
                    Anil Kumar
                ",12,16
44,"
                    
                    Hadi Tajik
                ",11,15
45,"
                    
                    Shubham Shinde
                ",13,15
46,"
                    
                    Sumit Malik
                ",14,14
47,"
                    
                    Vikas Jaglan
                ",17,14
48,"
                    
                    Harendra Kumar
                ",14,13
49,"
                    
                    Ajeet
                ",14,13
50,"
                    
                    Nitin Rawal
                ",12,12
51,"
                    
                    Pankaj
                ",5,12
52,"
                    
                    Ankit
                ",12,11
53,"
                    
                    Mohit Sehrawat
                ",11,10
54,"
                    
                    Vijay
                ",15,10
55,"
                    
                    Pawan Kumar Sehrawat
                ",17,10
56,"
                    
                    Sagar B Krishna
                ",10,10
57,"
                    
                    Pavan T. R.
                ",12,9
58,"
                    
                    Sagar
                ",9,8
59,"
                    
                    Saeid Ghaffari
                ",9,8
60,"
                    
                    Deepak Niwas Hooda
                ",16,8
61,"
                    
                    Amit Kumar
                ",9,8
62,"
                    
                    Rahul Chaudhari
                ",17,7
63,"
                    
                    Santhapanaselvam
                ",4,7
64,"
                    
                    Sanket Sawant
                ",5,7
65,"
                    
                    Ruturaj Shivaji Koravi
                ",11,7
66,"
                    
                    Viraj Vishnu Landge
                ",7,6
67,"
                    
                    Kuldeep Singh
                ",8,6
68,"
                    
                    Surender Gill
                ",13,6
69,"
                    
                    Sunil Siddhgavali
                ",11,6
70,"
                    
                    Shabeer Bappu
                ",13,6
71,"
                    
                    Vineet Sharma
                ",9,6
72,"
                    
                    Mohammad Esmaeil Maghsoudlou Mahalli
                ",16,5
73,"
                    
                    Rakesh Gowda
                ",7,5
74,"
                    
                    Rohit Gulia
                ",16,4
75,"
                    
                    Mayur Shivtarkar
                ",6,4
76,"
                    
                    Jawahar Dagar
                ",5,4
77,"
                    
                    Young Chang Ko
                ",9,4
78,"
                    
                    Rohit Kumar
                ",17,4
79,"
                    
                    Vikash Kandola
                ",13,4
80,"
                    
                    Krushna Madane
                ",7,4
81,"
                    
                    Vijay Kumar
                ",9,4
82,"
                    
                    Chand Singh
                ",6,4
83,"
                    
                    Vinay
                ",16,4
84,"
                    
                    Ankit
                ",5,4
85,"
                    
                    Sonu Jaglan
                ",11,3
86,"
                    
                    Elavarasan A
                ",3,3
87,"
                    
                    M. Abishek
                ",4,3
88,"
                    
                    Parveen
                ",6,3
89,"
                    
                    Adarsh T
                ",9,3
90,"
                    
                    Siddharth Sirish Desai
                ",16,3
91,"
                    
                    Rohit Baliyan
                ",13,3
92,"
                    
                    Ashish Kumar
                ",6,3
93,"
                    
                    Sachin Kumar
                ",12,3
94,"
                    
                    Shrikant Jadhav
                ",16,3
95,"
                    
                    Chandran Ranjit
                ",15,3
96,"
                    
                    Nitin Tomar
                ",11,3
97,"
                    
                    Nilesh Salunke
                ",14,2
98,"
                    
                    Monu Goyat
                ",9,2
99,"
                    
                    Sumit Singh
                ",13,2
