,Player_Name,Matches_Played,successful-tackles
0,"
                    
                    Sandeep Kandola
                ",16,55
1,"
                    
                    Ravinder Pahal
                ",14,53
2,"
                    
                    Dharmaraj Cheralathan
                ",15,41
3,"
                    
                    Manjeet Chhillar
                ",16,39
4,"
                    
                    Mohit Chhillar
                ",14,39
5,"
                    
                    Surender Nada
                ",14,39
6,"
                    
                    Sandeep Narwal
                ",16,34
7,"
                    
                    Ravi Kumar
                ",13,33
8,"
                    
                    Somvir Shekhar
                ",14,32
9,"
                    
                    Deepak Niwas Hooda
                ",15,32
10,"
                    
                    Jeeva Kumar
                ",13,31
11,"
                    
                    Kuldeep Singh
                ",14,30
12,"
                    
                    Joginder Singh Narwal
                ",14,30
13,"
                    
                    Ran Singh
                ",14,27
14,"
                    
                    Girish Maruti Ernak
                ",13,26
15,"
                    
                    D. Suresh Kumar
                ",16,26
16,"
                    
                    Vishal Mane
                ",14,26
17,"
                    
                    Nilesh Shinde
                ",12,21
18,"
                    
                    Sachin Khambe
                ",8,20
19,"
                    
                    Amit Hooda
                ",12,20
20,"
                    
                    Sunil
                ",9,19
21,"
                    
                    Rakesh Singh Kumar
                ",13,17
22,"
                    
                    Rohit Rana
                ",10,16
23,"
                    
                    Rajesh Narwal
                ",14,16
24,"
                    
                    Rajaguru Subramanian
                ",12,15
25,"
                    
                    Rishank Devadiga
                ",13,14
26,"
                    
                    Shyam Kumar Sah
                ",7,13
27,"
                    
                    Bajirao Hodage
                ",7,13
28,"
                    
                    Manoj Kumar
                ",14,13
29,"
                    
                    Manoj Dhull
                ",7,13
30,"
                    
                    Vijin Thangadurai
                ",7,11
31,"
                    
                    Amit Singh Chhillar
                ",6,11
32,"
                    
                    Dadaso Balaso Awad
                ",7,10
33,"
                    
                    C. Arun
                ",8,10
34,"
                    
                    Deepak Dhull
                ",8,10
35,"
                    
                    G.S. Manikandan
                ",13,9
36,"
                    
                    Vijender Singh
                ",7,9
37,"
                    
                    Fazel Atrachali
                ",5,9
38,"
                    
                    Meraj Sheykh
                ",15,9
39,"
                    
                    Rahul Chaudhari
                ",14,9
40,"
                    
                    Prashant Chavan
                ",11,9
41,"
                    
                    D. Gopu
                ",7,9
42,"
                    
                    Shrikant Tewthia
                ",9,8
43,"
                    
                    Preetam Chhillar
                ",12,8
44,"
                    
                    Jasvir Singh
                ",13,8
45,"
                    
                    Bhupender Singh
                ",11,8
46,"
                    
                    Harvinder Singh
                ",4,7
47,"
                    
                    Hadi Oshtorak
                ",4,6
48,"
                    
                    Anup Kumar
                ",14,6
49,"
                    
                    Gangadhari Mallesh
                ",10,6
50,"
                    
                    Mahipal Narwal
                ",9,6
51,"
                    
                    Vikas Kale
                ",8,6
52,"
                    
                    Parveen M. Jangra
                ",6,5
53,"
                    
                    Kalimuthu Balamahendran
                ",6,5
54,"
                    
                    Gurvinder Singh
                ",16,5
55,"
                    
                    Tae Deok Eom
                ",8,5
56,"
                    
                    Varinder Singh
                ",8,5
57,"
                    
                    Deepak Narwal
                ",16,4
58,"
                    
                    Rajeev Kumar
                ",3,4
59,"
                    
                    Deepak Kumar
                ",4,4
60,"
                    
                    Isac Antony
                ",7,4
61,"
                    
                    T. Prasad
                ",6,4
62,"
                    
                    Sagar Khatale
                ",4,4
63,"
                    
                    Rupesh Tomar
                ",6,4
64,"
                    
                    Sunil Jaipal
                ",10,4
65,"
                    
                    Prashanth Kumar Rai
                ",15,3
66,"
                    
                    Seong Ryeol Kim
                ",4,3
67,"
                    
                    Kashiling Adake
                ",14,3
68,"
                    
                    Jitesh Joshi
                ",5,3
69,"
                    
                    Rakesh Kumar
                ",4,3
70,"
                    
                    Ravi Dalal
                ",11,3
71,"
                    
                    Surender Singh
                ",2,3
72,"
                    
                    Rohit Kumar Choudary
                ",14,3
73,"
                    
                    K. Prapanjan
                ",4,2
74,"
                    
                    Anoop E.V.
                ",2,2
75,"
                    
                    Ashish Kumar
                ",5,2
76,"
                    
                    Aman Kumar
                ",4,2
77,"
                    
                    Amit Kumar Tomar
                ",9,2
78,"
                    
                    Vineet Sharma
                ",8,2
79,"
                    
                    Nitin More
                ",3,2
80,"
                    
                    Jang Kun Lee
                ",14,2
81,"
                    
                    Jasmer Singh Gulia
                ",3,2
82,"
                    
                    Wazir Singh
                ",11,2
83,"
                    
                    Sukesh Hegde
                ",13,2
84,"
                    
                    Sachin Shingade
                ",4,2
85,"
                    
                    Samarjeet Singh
                ",5,1
86,"
                    
                    Mahendra Ganesh Rajput
                ",12,1
87,"
                    
                    Pradeep Kumar
                ",6,1
88,"
                    
                    Suresu Kumar
                ",1,1
89,"
                    
                    Kedar Lal
                ",9,1
90,"
                    
                    Shabeer Bappu
                ",10,1
91,"
                    
                    Jeeva Gopal
                ",2,1
92,"
                    
                    Gurpreet Singh
                ",2,1
93,"
                    
                    Ajay Thakur
                ",13,1
94,"
                    
                    Chandran Ranjit
                ",1,1
95,"
                    
                    Pravin Niwale
                ",8,1
96,"
                    
                    Rajesh Mondal
                ",15,1
97,"
                    
                    Navneet Gautam
                ",7,1
98,"
                    
                    Jishnu
                ",3,1
99,"
                    
                    Amit Kumar
                ",1,1
100,"
                    
                    Ravit Kumar
                ",3,1
101,"
                    
                    Sanjay Kumar
                ",7,1
102,"
                    
                    Yogesh Hooda
                ",4,1
103,"
                    
                    Sandeep Malik
                ",1,1
104,"
                    
                    Ashish Chhokar
                ",6,1
105,"
                    
                    Adinath Sakharam Gavali
                ",1,1
106,"
                    
                    Hyunil Park
                ",2,1
