,Player_Name,Matches_Played,successful-tackles
0,"
                    
                    Nitesh Kumar
                ",25,92
1,"
                    
                    Parvesh Bhainswal
                ",25,82
2,"
                    
                    Fazel Atrachali
                ",23,80
3,"
                    
                    Sunil Kumar
                ",25,72
4,"
                    
                    Mahender Singh
                ",24,62
5,"
                    
                    Sandeep Kumar Dhull
                ",22,62
6,"
                    
                    Surender Singh
                ",22,59
7,"
                    
                    Jaideep
                ",22,56
8,"
                    
                    Ravinder Pahal
                ",22,56
9,"
                    
                    Manjeet Chhillar
                ",19,54
10,"
                    
                    Girish Maruti Ernak
                ",20,52
11,"
                    
                    PO Surjeet Singh
                ",23,52
12,"
                    
                    Vishal Bhardwaj
                ",17,51
13,"
                    
                    Abozar Mohajermighani
                ",21,48
14,"
                    
                    Joginder Singh Narwal
                ",22,47
15,"
                    
                    Amit Hooda
                ",18,45
16,"
                    
                    Kuldeep Singh
                ",22,45
17,"
                    
                    Ruturaj Shivaji Koravi
                ",23,44
18,"
                    
                    Ran Singh
                ",22,41
19,"
                    
                    Sunil
                ",22,41
20,"
                    
                    Sachin Kumar
                ",25,39
21,"
                    
                    Ashish Kumar
                ",24,37
22,"
                    
                    Rohit Rana
                ",19,37
23,"
                    
                    Dharmaraj Cheralathan
                ",22,37
24,"
                    
                    Narender
                ",25,37
25,"
                    
                    Amit Sheoran
                ",15,36
26,"
                    
                    Jeeva Kumar
                ",19,36
27,"
                    
                    Vishal Mane
                ",22,36
28,"
                    
                    Vikas Kale
                ",22,36
29,"
                    
                    Sandeep Narwal
                ",18,34
30,"
                    
                    Ravi Kumar
                ",22,33
31,"
                    
                    Sunil Siddhgavali
                ",16,30
32,"
                    
                    Mohit Chhillar
                ",14,28
33,"
                    
                    Anil Kumar
                ",18,25
34,"
                    
                    Mohsen Maghsoudloujafari
                ",19,25
35,"
                    
                    Vinod Kumar
                ",17,25
36,"
                    
                    Baldev Singh
                ",18,24
37,"
                    
                    Sachin Vittala
                ",22,24
38,"
                    
                    Sachin Shingade
                ",19,23
39,"
                    
                    Farhad Rahimi Milaghardan
                ",22,21
40,"
                    
                    Raju Lal Choudhary
                ",16,20
41,"
                    
                    Parveen
                ",19,20
42,"
                    
                    Amit Kumar
                ",17,20
43,"
                    
                    Mayur Shivtarkar
                ",18,19
44,"
                    
                    Rinku Narwal
                ",15,19
45,"
                    
                    Jawahar Dagar
                ",15,17
46,"
                    
                    Sagar B Krishna
                ",20,17
47,"
                    
                    Vikas Jaglan
                ",14,16
48,"
                    
                    Ponparthiban Subramanian
                ",12,16
49,"
                    
                    Kashiling Adake
                ",20,15
50,"
                    
                    Manjeet
                ",22,14
51,"
                    
                    Manish
                ",17,13
52,"
                    
                    Rajesh Narwal
                ",16,13
53,"
                    
                    Sandeep
                ",10,13
54,"
                    
                    Rohit Baliyan
                ",19,13
55,"
                    
                    Hadi Oshtorak
                ",13,12
56,"
                    
                    Sunil
                ",11,12
57,"
                    
                    Anup Kumar
                ",13,12
58,"
                    
                    Vijay
                ",21,12
59,"
                    
                    Sachin Tanwar
                ",23,12
60,"
                    
                    Akshay Jadhav
                ",18,12
61,"
                    
                    Ziaur Rahman
                ",18,12
62,"
                    
                    D. Pradap
                ",13,12
63,"
                    
                    Santhapanaselvam
                ",14,12
64,"
                    
                    Naveen
                ",21,12
65,"
                    
                    Young Chang Ko
                ",13,11
66,"
                    
                    Deepak Niwas Hooda
                ",22,11
67,"
                    
                    Krushna Madane
                ",6,11
68,"
                    
                    Pawan Kumar Sehrawat
                ",24,11
69,"
                    
                    Rajaguru Subramanian
                ",8,10
70,"
                    
                    Shrikant Tewthia
                ",8,10
71,"
                    
                    More GB
                ",22,10
72,"
                    
                    Satpal
                ",12,10
73,"
                    
                    Monu
                ",14,10
74,"
                    
                    Rohit Kumar
                ",24,9
75,"
                    
                    Shubham Shinde
                ",10,9
76,"
                    
                    Adarsh T
                ",10,9
77,"
                    
                    Kuldeep Singh
                ",7,8
78,"
                    
                    Vijin Thangadurai
                ",16,8
79,"
                    
                    C. Arun
                ",16,8
80,"
                    
                    Mahesh Goud
                ",10,8
81,"
                    
                    Anil Kumar
                ",4,8
82,"
                    
                    Ravinder Kumar
                ",8,8
83,"
                    
                    Vishal
                ",6,7
84,"
                    
                    Viraj Vishnu Landge
                ",7,6
