,Player_Name,Matches_Played,successful-tackles
85,"
                    
                    Abhishek Singh
                ",15,6
86,"
                    
                    Anil Kumar
                ",5,6
87,"
                    
                    Amit Nagar
                ",9,6
88,"
                    
                    Darshan J.
                ",9,6
89,"
                    
                    Rahul Chaudhari
                ",21,6
90,"
                    
                    D. Gopu
                ",5,5
91,"
                    
                    Yogesh Hooda
                ",6,5
92,"
                    
                    Ravindra Ramesh Kumawat
                ",12,5
93,"
                    
                    Vikash Kandola
                ",22,5
94,"
                    
                    Amit
                ",14,5
95,"
                    
                    Nitin Rawal
                ",9,5
96,"
                    
                    Parvesh
                ",6,4
97,"
                    
                    C Manoj Kumar
                ",12,4
98,"
                    
                    Naveen Kumar
                ",22,4
99,"
                    
                    Sudhanshu Tyagi
                ",13,4
100,"
                    
                    Anuj Kumar
                ",7,4
101,"
                    
                    Ajay
                ",7,4
102,"
                    
                    Monu Goyat
                ",20,4
103,"
                    
                    Sumit Singh
                ",8,4
104,"
                    
                    Deepak Narwal
                ",17,4
105,"
                    
                    Nilesh Salunke
                ",19,4
106,"
                    
                    Rishank Devadiga
                ",23,4
107,"
                    
                    Shrikant Jadhav
                ",25,4
108,"
                    
                    Jasmer Singh Gulia
                ",6,4
109,"
                    
                    Jasvir Singh
                ",16,4
110,"
                    
                    Chandran Ranjit
                ",24,4
111,"
                    
                    Meraj Sheykh
                ",19,3
112,"
                    
                    Selvamani K
                ",15,3
113,"
                    
                    Manoj Dhull
                ",8,3
114,"
                    
                    Amit Kumar
                ",2,3
115,"
                    
                    Rohit Gulia
                ",19,3
116,"
                    
                    Siddharth Sirish Desai
                ",21,3
117,"
                    
                    Lalit Chaudhary
                ",3,3
118,"
                    
                    Ankit
                ",6,3
119,"
                    
                    Ajinkya Ashok Pawar
                ",17,3
120,"
                    
                    Azad Singh
                ",9,2
121,"
                    
                    Sandeep
                ",5,2
122,"
                    
                    Lokesh Kaushik
                ",6,2
123,"
                    
                    Prateek
                ",6,2
124,"
                    
                    Deepak Kumar Dahiya
                ",11,2
125,"
                    
                    Nitin Tomar
                ",11,2
126,"
                    
                    Abolfazl Maghsodloumahali
                ",10,2
127,"
                    
                    Bhupender Singh
                ",4,2
128,"
                    
                    Jang Kun Lee
                ",18,2
129,"
                    
                    Sukesh Hegde
                ",17,2
130,"
                    
                    Prashanth Kumar Rai
                ",21,2
131,"
                    
                    Mahendra Ganesh Rajput
                ",13,2
132,"
                    
                    Bajirao Hodage
                ",6,1
133,"
                    
                    Tae Deok Eom
                ",11,1
134,"
                    
                    Ajay Thakur
                ",22,1
135,"
                    
                    Gangadhari Mallesh
                ",6,1
136,"
                    
                    Nithesh B R
                ",2,1
137,"
                    
                    Darshan Kadian
                ",14,1
138,"
                    
                    Rakesh Narwal
                ",6,1
139,"
                    
                    K. Prapanjan
                ",22,1
140,"
                    
                    E Subash
                ",2,1
141,"
                    
                    N. Shiva Ramakrishna
                ",1,1
142,"
                    
                    Anand Surendra Tomar
                ",5,1
143,"
                    
                    Tapas Pal
                ",2,1
144,"
                    
                    Pankaj
                ",1,1
145,"
                    
                    Ajay Kumar
                ",13,1
146,"
                    
                    Sombir
                ",4,1
147,"
                    
                    Athul MS
                ",19,1
148,"
                    
                    Amit Kharb
                ",6,1
149,"
                    
                    Vijay Kumar
                ",4,1
150,"
                    
                    Vikram Kandola
                ",1,1
151,"
                    
                    Kamal Singh
                ",8,1
152,"
                    
                    Armaan
                ",4,1
153,"
                    
                    Aashish Nagar
                ",3,1
