SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,Team-name
MATCHES PLAYED,129,17,22,26,16,16,16,16,patna-pirates
WINS,68,6,9,14,12,12,7,8,patna-pirates
DRAWS,13,1,2,5,0,2,1,2,patna-pirates
LOSSES,48,10,11,7,4,2,8,6,patna-pirates
FINISHING POSITION,0,8,4,2,1,2,4,4,patna-pirates
TOTAL RAIDS,5559,718,934,1173,692,703,701,638,patna-pirates
SUCCESSFUL RAIDS,2025,250,406,487,206,241,182,253,patna-pirates
UNSUCCESSFUL RAID,1206,168,226,238,152,129,159,134,patna-pirates
EMPTY RAIDS,2328,300,302,448,334,333,360,251,patna-pirates
SUCCESS RAID %,0.46,0.44,0.53,0.54,0.38,0.46,0.33,0.5,patna-pirates
NO. OF SUPER RAIDS,88,11,11,26,7,16,4,13,patna-pirates
RAID TOUCH POINTS,2075,258,376,508,224,272,185,252,patna-pirates
RAID BONUS POINTS,504,56,120,129,40,52,43,64,patna-pirates
TOTAL RAID POINTS,2579,314,496,637,264,324,228,316,patna-pirates
TOTAL TACKLES,3069,396,555,625,332,405,376,380,patna-pirates
SUCCESSFUL TACKLES,1165,157,186,226,145,175,152,124,patna-pirates
UNSUCCESFUL TACKLES,1904,239,369,399,187,230,224,256,patna-pirates
SUCCESSFUL TACKLE %,0.42,0.45,0.36,0.4,0.52,0.45,0.44,0.37,patna-pirates
NO. OF SUPER TACKLES,130,22,16,27,27,7,13,18,patna-pirates
ALL OUTS INFLICTED,191,26,30,55,19,30,13,18,patna-pirates
TOTAL ALL OUT POINTS,382,52,60,110,38,60,26,36,patna-pirates
TOTAL DEFENCE POINTS,1291,179,201,252,171,182,164,142,patna-pirates
