SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,Team-name
MATCHES PLAYED,121,17,22,22,16,14,14,16,jaipur-pink-panthers
WINS,52,7,6,8,9,4,6,12,jaipur-pink-panthers
DRAWS,11,2,3,1,1,2,1,1,jaipur-pink-panthers
LOSSES,58,8,13,13,6,8,7,3,jaipur-pink-panthers
FINISHING POSITION,0,7,5,5,3,6,5,1,jaipur-pink-panthers
TOTAL RAIDS,5095,705,949,962,666,593,599,621,jaipur-pink-panthers
SUCCESSFUL RAIDS,1628,201,334,288,203,149,183,270,jaipur-pink-panthers
UNSUCCESSFUL RAID,1198,174,220,236,139,152,152,125,jaipur-pink-panthers
EMPTY RAIDS,2269,330,395,438,324,292,264,226,jaipur-pink-panthers
SUCCESS RAID %,0.41,0.37,0.44,0.37,0.41,0.33,0.39,0.55,jaipur-pink-panthers
NO. OF SUPER RAIDS,60,6,13,13,6,8,5,9,jaipur-pink-panthers
RAID TOUCH POINTS,1654,196,313,297,221,147,189,291,jaipur-pink-panthers
RAID BONUS POINTS,412,63,102,56,49,46,43,53,jaipur-pink-panthers
TOTAL RAID POINTS,2066,259,415,353,270,193,232,344,jaipur-pink-panthers
TOTAL TACKLES,2693,392,551,459,319,274,298,400,jaipur-pink-panthers
SUCCESSFUL TACKLES,1031,165,202,162,119,101,124,158,jaipur-pink-panthers
UNSUCCESFUL TACKLES,1662,227,349,297,200,173,174,242,jaipur-pink-panthers
SUCCESSFUL TACKLE %,0.43,0.5,0.41,0.37,0.42,0.43,0.48,0.42,jaipur-pink-panthers
NO. OF SUPER TACKLES,129,31,25,10,17,16,18,12,jaipur-pink-panthers
ALL OUTS INFLICTED,134,16,22,22,17,11,17,29,jaipur-pink-panthers
TOTAL ALL OUT POINTS,268,32,44,44,34,22,34,58,jaipur-pink-panthers
TOTAL DEFENCE POINTS,1155,195,225,171,135,117,142,170,jaipur-pink-panthers
