SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,Team-name
MATCHES PLAYED,124,18,22,24,16,16,14,14,puneri-paltan
WINS,49,6,8,16,7,8,2,2,puneri-paltan
DRAWS,11,3,2,0,2,3,1,0,puneri-paltan
LOSSES,64,9,12,8,7,5,11,12,puneri-paltan
FINISHING POSITION,0,8,4,2,4,3,8,8,puneri-paltan
TOTAL RAIDS,5297,749,940,1042,716,698,600,552,puneri-paltan
SUCCESSFUL RAIDS,1651,254,286,304,230,203,170,204,puneri-paltan
UNSUCCESSFUL RAID,1224,190,228,223,151,133,151,148,puneri-paltan
EMPTY RAIDS,2422,305,426,515,335,362,279,200,puneri-paltan
SUCCESS RAID %,0.39,0.41,0.37,0.36,0.4,0.36,0.37,0.49,puneri-paltan
NO. OF SUPER RAIDS,63,6,7,12,10,9,8,11,puneri-paltan
RAID TOUCH POINTS,1645,235,235,321,246,215,186,207,puneri-paltan
RAID BONUS POINTS,421,73,111,58,44,36,37,62,puneri-paltan
TOTAL RAID POINTS,2066,308,346,379,290,251,223,269,puneri-paltan
TOTAL TACKLES,2924,484,502,547,345,371,307,368,puneri-paltan
SUCCESSFUL TACKLES,1141,189,189,252,140,174,104,93,puneri-paltan
UNSUCCESFUL TACKLES,1783,295,313,295,205,197,203,275,puneri-paltan
SUCCESSFUL TACKLE %,0.43,0.44,0.44,0.5,0.42,0.5,0.37,0.29,puneri-paltan
NO. OF SUPER TACKLES,122,22,34,21,7,13,11,14,puneri-paltan
ALL OUTS INFLICTED,133,17,14,32,21,25,12,12,puneri-paltan
TOTAL ALL OUT POINTS,266,34,28,64,42,50,24,24,puneri-paltan
TOTAL DEFENCE POINTS,1255,211,219,271,146,187,114,107,puneri-paltan
