SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,Team-name
MATCHES PLAYED,65,17,25,23,up-yoddha
WINS,27,9,10,8,up-yoddha
DRAWS,10,2,4,4,up-yoddha
LOSSES,28,6,11,11,up-yoddha
FINISHING POSITION,0,4,3,3,up-yoddha
TOTAL RAIDS,2781,711,1068,1002,up-yoddha
SUCCESSFUL RAIDS,923,208,357,358,up-yoddha
UNSUCCESSFUL RAID,648,172,255,221,up-yoddha
EMPTY RAIDS,1210,331,456,423,up-yoddha
SUCCESS RAID %,0.42,0.38,0.42,0.46,up-yoddha
NO. OF SUPER RAIDS,37,4,10,23,up-yoddha
RAID TOUCH POINTS,871,206,318,347,up-yoddha
RAID BONUS POINTS,308,63,131,114,up-yoddha
TOTAL RAID POINTS,1179,269,449,461,up-yoddha
TOTAL TACKLES,1534,389,594,551,up-yoddha
SUCCESSFUL TACKLES,590,167,240,183,up-yoddha
UNSUCCESFUL TACKLES,944,222,354,368,up-yoddha
SUCCESSFUL TACKLE %,0.42,0.46,0.45,0.36,up-yoddha
NO. OF SUPER TACKLES,60,14,27,19,up-yoddha
ALL OUTS INFLICTED,69,20,26,23,up-yoddha
TOTAL ALL OUT POINTS,138,40,52,46,up-yoddha
TOTAL DEFENCE POINTS,646,180,265,201,up-yoddha
