,Player_Name,Matches_Played,successful-raids
0,"
                    
                    Pawan Kumar Sehrawat
                ",17,168
1,"
                    
                    Naveen Kumar
                ",16,165
2,"
                    
                    Pardeep Narwal
                ",17,161
3,"
                    
                    Maninder Singh
                ",17,132
4,"
                    
                    Siddharth Sirish Desai
                ",16,117
5,"
                    
                    Vikash Kandola
                ",13,98
6,"
                    
                    Rahul Chaudhari
                ",17,87
7,"
                    
                    Deepak Niwas Hooda
                ",16,85
8,"
                    
                    Manjeet
                ",18,77
9,"
                    
                    Abhishek Singh
                ",14,74
10,"
                    
                    Rohit Gulia
                ",16,73
11,"
                    
                    Pankaj Mohite
                ",15,73
12,"
                    
                    Shrikant Jadhav
                ",16,72
13,"
                    
                    V. Ajith Kumar
                ",14,70
14,"
                    
                    K. Prapanjan
                ",17,69
15,"
                    
                    Rohit Kumar
                ",17,69
16,"
                    
                    Sachin Tanwar
                ",14,60
17,"
                    
                    Chandran Ranjit
                ",15,59
18,"
                    
                    Arjun Deshwal
                ",15,57
19,"
                    
                    Vinay
                ",16,55
20,"
                    
                    Mohammad Esmaeil Nabibakhsh
                ",17,52
21,"
                    
                    Ajay Thakur
                ",13,47
22,"
                    
                    Nitin Tomar
                ",11,44
23,"
                    
                    Naveen
                ",13,43
24,"
                    
                    Monu Goyat
                ",9,38
25,"
                    
                    Suraj Desai
                ",12,35
26,"
                    
                    Deepak Narwal
                ",14,32
27,"
                    
                    Surender Gill
                ",13,31
28,"
                    
                    Rishank Devadiga
                ",12,30
29,"
                    
                    Jang Kun Lee
                ",11,29
30,"
                    
                    Prashanth Kumar Rai
                ",10,28
31,"
                    
                    More GB
                ",14,27
32,"
                    
                    Athul MS
                ",12,27
33,"
                    
                    Rohit Baliyan
                ",13,26
34,"
                    
                    Mohammad Esmaeil Maghsoudlou Mahalli
                ",16,23
35,"
                    
                    Sumit Singh
                ",13,23
36,"
                    
                    Nitin Rawal
                ",12,23
37,"
                    
                    Meraj Sheykh
                ",12,22
38,"
                    
                    Sonu Jaglan
                ",11,21
39,"
                    
                    Rajnish
                ",8,20
40,"
                    
                    Vijay
                ",15,20
41,"
                    
                    Pawan Kumar Kadian
                ",6,19
42,"
                    
                    Sukesh Hegde
                ",10,19
43,"
                    
                    Nilesh Salunke
                ",14,18
44,"
                    
                    Farhad Rahimi Milaghardan
                ",16,18
45,"
                    
                    Shabeer Bappu
                ",13,17
46,"
                    
                    Ajinkya Ashok Pawar
                ",13,16
47,"
                    
                    Rakesh Gowda
                ",7,14
48,"
                    
                    Amit Kumar
                ",12,12
49,"
                    
                    Sushil Gulia
                ",6,11
50,"
                    
                    Monu
                ",17,9
51,"
                    
                    Sandeep Narwal
                ",16,9
52,"
                    
                    Dong Geon Lee
                ",4,7
53,"
                    
                    Banty
                ",9,7
54,"
                    
                    Sachin Narwal
                ",10,7
55,"
                    
                    Amit Kumar
                ",5,7
56,"
                    
                    Vinod Kumar
                ",6,6
57,"
                    
                    Armaan
                ",6,6
58,"
                    
                    Selvamani K
                ",6,6
59,"
                    
                    Vikas Jaglan
                ",17,6
60,"
                    
                    Surender Singh
                ",4,5
61,"
                    
                    Ankit Beniwal
                ",5,5
62,"
                    
                    Sushant Sail
                ",7,5
63,"
                    
                    Mohit Sehrawat
                ",11,4
64,"
                    
                    Harmanjit Singh
                ",3,4
65,"
                    
                    Hadi Oshtorak
                ",17,4
66,"
                    
                    Ran Singh
                ",16,4
67,"
                    
                    Ankush
                ",3,4
68,"
                    
                    Victor Onyango Obiero
                ",3,4
69,"
                    
                    Azad Singh
                ",3,3
70,"
                    
                    Mohsen Maghsoudloujafari
                ",10,3
71,"
                    
                    Gurvinder Singh
                ",2,3
72,"
                    
                    Abolfazl Maghsodloumahali
                ",6,3
73,"
                    
                    Ashish
                ",7,3
74,"
                    
                    Amit Kumar
                ",3,3
75,"
                    
                    Anand
                ",4,3
76,"
                    
                    Purna Singh
                ",5,3
77,"
                    
                    Palle Mallikarjun
                ",3,2
78,"
                    
                    Vineet Sharma
                ",9,2
79,"
                    
                    Darshan Kadian
                ",5,2
80,"
                    
                    Amit Kumar
                ",9,2
81,"
                    
                    Rakesh Narwal
                ",1,1
82,"
                    
                    Fazel Atrachali
                ",16,1
83,"
                    
                    PO Surjeet Singh
                ",18,1
84,"
                    
                    Hadi Tajik
                ",11,1
85,"
                    
                    Dharmaraj Cheralathan
                ",15,1
86,"
                    
                    C. Arun
                ",16,1
87,"
                    
                    Sunil Kumar
                ",16,1
88,"
                    
                    Surinder Singh
                ",16,1
89,"
                    
                    Arun Kumar HN
                ",2,1
90,"
                    
                    Lalit Chaudhary
                ",4,1
91,"
                    
                    Ajinkya Rohidas Kapre
                ",2,1
92,"
                    
                    Amit
                ",16,1
93,"
                    
                    Balram
                ",1,1
94,"
                    
                    Saurabh Nandal
                ",16,1
95,"
                    
                    Shubham Shinde
                ",13,1
96,"
                    
                    Sumit
                ",16,1
97,"
                    
                    Emad Sedaghatnia
                ",1,1
98,"
                    
                    Aman Kadian
                ",2,1
99,"
                    
                    Chand Singh
                ",6,1
100,"
                    
                    Vikas Chhillar
                ",1,1
