,Player_Name,Matches_Played,successful-raids
0,"
                    
                    Pawan Kumar Sehrawat
                ",24,209
1,"
                    
                    Pardeep Narwal
                ",21,185
2,"
                    
                    Ajay Thakur
                ",22,177
3,"
                    
                    Siddharth Sirish Desai
                ",21,169
4,"
                    
                    Deepak Niwas Hooda
                ",22,162
5,"
                    
                    Sachin Tanwar
                ",23,159
6,"
                    
                    Maninder Singh
                ",22,158
7,"
                    
                    Naveen Kumar
                ",22,144
8,"
                    
                    Rahul Chaudhari
                ",21,136
9,"
                    
                    Vikash Kandola
                ",22,136
10,"
                    
                    Rohit Kumar
                ",24,129
11,"
                    
                    Monu Goyat
                ",20,128
12,"
                    
                    Chandran Ranjit
                ",24,127
13,"
                    
                    Prashanth Kumar Rai
                ",21,112
14,"
                    
                    Shrikant Jadhav
                ",25,108
15,"
                    
                    K. Prapanjan
                ",22,95
16,"
                    
                    Nitin Tomar
                ",11,84
17,"
                    
                    Rohit Baliyan
                ",19,82
18,"
                    
                    Rishank Devadiga
                ",23,82
19,"
                    
                    Manjeet
                ",22,76
20,"
                    
                    Naveen
                ",21,71
21,"
                    
                    Meraj Sheykh
                ",19,71
22,"
                    
                    Jang Kun Lee
                ",18,61
23,"
                    
                    More GB
                ",22,60
24,"
                    
                    Nilesh Salunke
                ",19,59
25,"
                    
                    Ajinkya Ashok Pawar
                ",17,57
26,"
                    
                    Deepak Narwal
                ",17,55
27,"
                    
                    Kashiling Adake
                ",20,51
28,"
                    
                    Sukesh Hegde
                ",17,51
29,"
                    
                    Vijay
                ",21,50
30,"
                    
                    Rohit Gulia
                ",19,48
31,"
                    
                    Athul MS
                ",19,46
32,"
                    
                    Darshan Kadian
                ",14,38
33,"
                    
                    Monu
                ",14,38
34,"
                    
                    Abhishek Singh
                ",15,38
35,"
                    
                    Pawan Kumar Kadian
                ",13,32
36,"
                    
                    Jasvir Singh
                ",16,32
37,"
                    
                    Anup Kumar
                ",13,30
38,"
                    
                    Ravindra Ramesh Kumawat
                ",12,29
39,"
                    
                    Selvamani K
                ",15,27
40,"
                    
                    Mahesh Goud
                ",10,26
41,"
                    
                    Deepak Kumar Dahiya
                ",11,26
42,"
                    
                    Akshay Jadhav
                ",18,25
43,"
                    
                    Mohsen Maghsoudloujafari
                ",19,25
44,"
                    
                    Ajay Kumar
                ",13,23
45,"
                    
                    Ran Singh
                ",22,23
46,"
                    
                    Dong Geon Lee
                ",11,22
47,"
                    
                    Sachin Kumar
                ",25,21
48,"
                    
                    Abolfazl Maghsodloumahali
                ",10,19
49,"
                    
                    Nitin Rawal
                ",9,19
50,"
                    
                    Mahendra Ganesh Rajput
                ",13,18
51,"
                    
                    Farhad Rahimi Milaghardan
                ",22,17
52,"
                    
                    Sandeep Narwal
                ",18,16
53,"
                    
                    Vinod Kumar
                ",17,15
54,"
                    
                    Azad Singh
                ",9,14
55,"
                    
                    Harish Naik
                ",7,14
56,"
                    
                    Amit Nagar
                ",9,13
57,"
                    
                    Tushar Patil
                ",9,13
58,"
                    
                    Vikas Jaglan
                ",14,13
59,"
                    
                    Rajesh Mondal
                ",11,13
60,"
                    
                    Rakshith
                ",11,12
61,"
                    
                    Amit Kumar
                ",17,10
62,"
                    
                    CPO Surjeet Singh
                ",9,10
63,"
                    
                    Anand Patil
                ",7,9
64,"
                    
                    Armaan
                ",4,9
65,"
                    
                    Rajnish
                ",4,8
66,"
                    
                    Kamal Singh
                ",8,7
67,"
                    
                    C Manoj Kumar
                ",12,7
68,"
                    
                    Anand
                ",3,7
69,"
                    
                    Anand Surendra Tomar
                ",5,7
70,"
                    
                    Ajit Singh
                ",6,7
71,"
                    
                    Sumit Singh
                ",8,7
72,"
                    
                    Shabeer Bappu
                ",6,6
73,"
                    
                    Bhupender Singh
                ",4,6
74,"
                    
                    Bhanu Pratap Tomar
                ",6,6
75,"
                    
                    Mahesh Maruti Magdum
                ",4,5
76,"
                    
                    Parvesh
                ",6,5
77,"
                    
                    D. Pradap
                ",13,5
78,"
                    
                    Manjeet Chhillar
                ",19,5
79,"
                    
                    Rajesh Narwal
                ",16,5
80,"
                    
                    Rakesh Narwal
                ",6,5
81,"
                    
                    Hadi Oshtorak
                ",13,4
82,"
                    
                    Sandeep
                ",5,4
83,"
                    
                    Sunil Siddhgavali
                ",16,4
84,"
                    
                    Victor Onyango Obiero
                ",3,4
85,"
                    
                    Amit Kumar
                ",6,4
86,"
                    
                    Anand V
                ",3,3
