,Player_Name,Matches_Played,successful-raids
96,"
                    
                    Vikas Kumar
                ",14,26
97,"
                    
                    Vinoth Kumar
                ",17,25
98,"
                    
                    Ajit Singh
                ",17,24
99,"
                    
                    Mohammad Esmaeil Maghsoudlou Mahalli
                ",16,23
100,"
                    
                    Rakshith
                ",17,23
101,"
                    
                    Sonu Jaglan
                ",11,21
102,"
                    
                    Sachin Kumar
                ",46,21
103,"
                    
                    Manpreet Singh
                ",13,20
104,"
                    
                    Mangesh Bhagat
                ",8,19
105,"
                    
                    Pradeep Kumar
                ",10,19
106,"
                    
                    Dinesh Kumar
                ",8,17
107,"
                    
                    Azad Singh
                ",12,17
108,"
                    
                    Amit Kumar
                ",18,16
109,"
                    
                    Umesh Mhatre
                ",13,16
110,"
                    
                    Manoj Kumar
                ",52,16
111,"
                    
                    Surender Nada
                ",71,15
112,"
                    
                    Armaan
                ",10,15
113,"
                    
                    Amit Nagar
                ",12,14
114,"
                    
                    Rakesh Gowda
                ",7,14
115,"
                    
                    Gangadhari Mallesh
                ",36,14
116,"
                    
                    Ashish Chhokar
                ",12,13
117,"
                    
                    Parmod Narwal
                ",35,13
118,"
                    
                    Suresh Kumar
                ",11,12
119,"
                    
                    D. Pradap
                ",29,11
120,"
                    
                    M. Thivakaran
                ",9,11
121,"
                    
                    Sushil Gulia
                ",6,11
122,"
                    
                    Sachin Vittala
                ",26,11
123,"
                    
                    Shyam Kumar Sah
                ",27,11
124,"
                    
                    Nilesh Shinde
                ",69,11
125,"
                    
                    Kalimuthu Balamahendran
                ",23,10
126,"
                    
                    Tae Deok Eom
                ",35,10
127,"
                    
                    Waleed Al Hasani
                ",6,10
128,"
                    
                    Isac Antony
                ",9,10
129,"
                    
                    Amit Kumar
                ",17,10
130,"
                    
                    Anand
                ",7,10
131,"
                    
                    Sanjay Kumar
                ",8,9
132,"
                    
                    Mohammad Maghshoudulu
                ",18,9
133,"
                    
                    Anil Shriram Nimbolkar
                ",6,9
134,"
                    
                    Preetam Chhillar
                ",58,9
135,"
                    
                    Ravinder Pahal
                ",105,8
136,"
                    
                    Hadi Oshtorak
                ",67,8
137,"
                    
                    Simon Kibura
                ",9,8
138,"
                    
                    Victor Onyango Obiero
                ",6,8
139,"
                    
                    Shubham Ashok Palkar
                ",12,8
140,"
                    
                    PO Surjeet Singh
                ",91,7
141,"
                    
                    Virender Wazir Singh
                ",7,7
142,"
                    
                    Elangeshwaran R
                ",5,7
143,"
                    
                    Anand Surendra Tomar
                ",5,7
144,"
                    
                    C Manoj Kumar
                ",12,7
145,"
                    
                    Kamal Singh
                ",11,7
146,"
                    
                    Sachin Narwal
                ",10,7
147,"
                    
                    Banty
                ",9,7
148,"
                    
                    Amit Kumar
                ",5,7
149,"
                    
                    Balbir Singh
                ",10,7
150,"
                    
                    Jasmer Singh Gulia
                ",52,7
151,"
                    
                    Sandeep Kandola
                ",16,7
152,"
                    
                    Deepak Kumar Rathee
                ",20,7
153,"
                    
                    Kedar Lal
                ",10,7
154,"
                    
                    Bhanu Pratap Tomar
                ",6,6
155,"
                    
                    Anil Kashinath Patil
                ",5,6
156,"
                    
                    Mayur Shivtarkar
                ",29,6
157,"
                    
                    Parvesh
                ",6,5
158,"
                    
                    Mahesh Maruti Magdum
                ",4,5
159,"
                    
                    Sushant Sail
                ",7,5
160,"
                    
                    Ankit Beniwal
                ",6,5
161,"
                    
                    Ravi V.
                ",2,5
162,"
                    
                    Sachin Khambe
                ",22,5
163,"
                    
                    Rupesh Tomar
                ",15,4
164,"
                    
                    Dadaso Balaso Awad
                ",12,4
165,"
                    
                    Vijay Malik
                ",7,4
166,"
                    
                    Amit Hooda
                ",84,4
167,"
                    
                    D. Gopu
                ",34,4
168,"
                    
                    Mohit Sehrawat
                ",11,4
169,"
                    
                    Harmanjit Singh
                ",3,4
170,"
                    
                    Ankush
                ",3,4
171,"
                    
                    Rahul Choudhary
                ",5,4
172,"
                    
                    Sunil Siddhgavali
                ",39,4
173,"
                    
                    Mohan Raman G
                ",4,4
174,"
                    
                    Sandeep
                ",5,4
175,"
                    
                    Vikash Kumar
                ",6,4
176,"
                    
                    Jawahar Dagar
                ",44,4
177,"
                    
                    Sunil Kumar
                ",66,3
178,"
                    
                    Rohit
                ",2,3
179,"
                    
                    Sidharth
                ",21,3
180,"
                    
                    Bhuvneshwar Gaur
                ",6,3
181,"
                    
                    Anand V
                ",3,3
182,"
                    
                    Ashish
                ",7,3
183,"
                    
                    Amit Kumar
                ",3,3
184,"
                    
                    Purna Singh
                ",5,3
185,"
                    
                    Girish Maruti Ernak
                ",102,3
186,"
                    
                    Amit Kumar
                ",11,3
187,"
                    
                    Joginder Singh Narwal
                ",76,3
188,"
                    
                    Amit Kumar Tomar
                ",9,3
189,"
                    
                    Gnanasekaran M
                ",8,3
190,"
                    
                    Hadi Tajik
                ",27,3
191,"
                    
                    Dovlet Boshimov
                ",2,3
192,"
                    
                    Ehsan Zamani Fard
                ",8,3
193,"
                    
                    Wajid Ali
                ",4,3
194,"
                    
                    Mohit Chhillar
                ",107,3
195,"
                    
                    Ram Kumar Sah
                ",11,3
196,"
                    
                    Punit Kumar Teotia
                ",4,2
197,"
                    
                    Md. Aruduzzaman Munshi
                ",6,2
198,"
                    
                    Sinotharan Kanesharajah
                ",3,2
199,"
                    
                    Seong Ryeol Kim
                ",15,2
200,"
                    
                    Mandeep Kumar
                ",7,2
201,"
                    
                    Anil Kumar
                ",50,2
202,"
                    
                    David Shilisia J Mosambayi
                ",7,2
203,"
                    
                    Fazel Atrachali
                ",95,2
204,"
                    
                    Sandeep Tomar
                ",3,2
205,"
                    
                    Vinoth Paulyas
                ",4,2
206,"
                    
                    C. Arun
                ",85,2
207,"
                    
                    Sunil
                ",63,2
208,"
                    
                    Samarjeet Singh
                ",22,2
209,"
                    
                    Palle Mallikarjun
                ",3,2
210,"
                    
                    Mithin Kumar
                ",3,2
211,"
                    
                    Lalit Chaudhary
                ",7,2
212,"
                    
                    Md. Masud Karim
                ",3,2
213,"
                    
                    Arun Kumar HN
                ",4,2
214,"
                    
                    Gaurav Kumar
                ",3,2
215,"
                    
                    Dharmender
                ",4,2
216,"
                    
                    Vimal Raj V
                ",5,2
217,"
                    
                    Sanoj Kumar
                ",2,2
218,"
                    
                    Rinku Narwal
                ",45,2
219,"
                    
                    Vishal
                ",21,2
220,"
                    
                    Lokesh Kaushik
                ",6,2
221,"
                    
                    Prateek
                ",6,1
222,"
                    
                    Anil Kumar
                ",19,1
223,"
                    
                    Yong Joo Ok
                ",1,1
224,"
                    
                    Sagar B Krishna
                ",58,1
225,"
                    
                    Vishal Bhardwaj
                ",57,1
226,"
                    
                    Parvesh Attri
                ",1,1
227,"
                    
                    Nirbhay Narwal
                ",2,1
228,"
                    
                    Parveen Narwal
                ",1,1
229,"
                    
                    Nitin Kumar
                ",1,1
230,"
                    
                    Vikrant
                ",3,1
231,"
                    
                    Vijay Kumar
                ",21,1
232,"
                    
                    Mahender Singh
                ",61,1
233,"
                    
                    Gulveer Singh
                ",4,1
234,"
                    
                    Bhavani Rajput
                ",4,1
235,"
                    
                    Surinder Singh
                ",60,1
236,"
                    
                    Vishav Chaudhary
                ",2,1
237,"
                    
                    Rohit Kumar
                ",7,1
238,"
                    
                    Anuj Kumar
                ",7,1
239,"
                    
                    Sumit
                ",16,1
240,"
                    
                    Emad Sedaghatnia
                ",1,1
241,"
                    
                    Parveen
                ",25,1
242,"
                    
                    Adarsh T
                ",19,1
243,"
                    
                    Aman Kadian
                ",3,1
244,"
                    
                    Amit
                ",30,1
245,"
                    
                    Ajinkya Rohidas Kapre
                ",2,1
246,"
                    
                    Chand Singh
                ",6,1
247,"
                    
                    Vikas Chhillar
                ",1,1
248,"
                    
                    Shubham Shinde
                ",23,1
249,"
                    
                    Balram
                ",1,1
250,"
                    
                    Saurabh Nandal
                ",16,1
251,"
                    
                    Gurchet Singh
                ",4,1
252,"
                    
                    Rakesh Singh Kumar
                ",49,1
253,"
                    
                    Kazuhiro Takano
                ",2,1
254,"
                    
                    Parveen M. Jangra
                ",6,1
255,"
                    
                    Inderpal Bishnoi
                ",2,1
256,"
                    
                    Ravit Kumar
                ",3,1
257,"
                    
                    Hyunil Park
                ",2,1
258,"
                    
                    Krushna Madane
                ",14,1
259,"
                    
                    Jay Bahadur Bohara
                ",1,1
260,"
                    
                    Jeeva Kumar
                ",109,1
261,"
                    
                    Gurpreet Singh
                ",18,1
262,"
                    
                    Amit Singh Chhillar
                ",35,1
263,"
                    
                    Takamitsu Kono
                ",1,1
264,"
                    
                    Dong Ju Hong
                ",9,1
265,"
                    
                    Prashant Chavan
                ",41,1
266,"
                    
                    Somvir Shekhar
                ",61,1
267,"
                    
                    Sunil Hanumanthappa
                ",5,1
268,"
                    
                    Santhosh B.S
                ",9,1
269,"
                    
                    Rohit Rana
                ",82,1
